Problem,,,Constructive algorithm,,,Local search,,GRASP
Name,n,m,Randomized-1,Greedy-1,Semi-greedy-1,Local-1,,GRASP-1
,,,,,,No. of iterations,Best value,No. of iterations,Best value
G31,2000,19990,2846,2921,2935,258,2793,10,2921
G32,2000,4000,1128,1234,1224,39,1110,10,1234
G33,2000,4000,1097,1222,1210,38,1082,10,1222
G34,2000,4000,1091,1210,1216,41,1079,10,1210
G35,2000,11778,7389,7450,7470,120,7368,10,7450
G36,2000,11766,7376,7460,7450,120,7358,10,7460
G37,2000,11785,7393,7487,7460,119,7374,10,7487
G38,2000,11779,7386,7472,7449,120,7364,10,7472
G39,2000,11778,2057,2157,2145,179,2016,10,2157
G40,2000,11766,2031,2164,2120,191,1994,10,2164
