Problem,,,Constructive algorithm,,Local search,,GRASP,
Name,n,m,alpha,Semi-greedy-1,Local-1,,GRASP-1,
,,,,,No. of iterations,Best value,No. of iterations,Best value
,,,0.5,11415,,,,
,,,0.52,11381,,,,
,,,0.55,11411,,,,
,,,0.56,11386,,,,
,,,0.56,11421,,,,
,,,0.59,11490,,,,
,,,0.61,11380,,,,
,,,0.64,11373,,,,
,,,0.64,11384,,,,
,,,0.65,11383,,,,
,,,0.65,11457,,,,
,,,0.66,11347,,,,
,,,0.68,11389,,,,
,,,0.7,11430,,,,
,,,0.71,11425,,,,
,,,0.75,11409,,,,
,,,0.76,11406,,,,
,,,0.79,11404,,,,
,,,0.8,11350,,,,
,,,0.82,11395,,,,
,,,0.82,11399,,,,
,,,0.85,11433,,,,
,,,0.87,11414,,,,
,,,0.89,11380,,,,
,,,0.9,11350,,,,
,,,0.95,11439,,,,
,,,0.96,11429,,,,
,,,0.97,11360,,,,
,,,0.97,11416,,,,
,,,0.97,11464,,,,
,,,0.99,11449,,,,
G6,800,19176,0,1940,143,1927,50,2022
,,,0,1996,,,,
,,,0.01,1980,,,,
,,,0.03,1903,,,,
,,,0.04,1862,,,,
,,,0.09,1920,,,,
,,,0.11,1945,,,,
,,,0.14,1911,,,,
,,,0.16,1857,,,,
,,,0.17,1888,,,,
,,,0.22,1938,,,,
,,,0.25,1916,,,,
,,,0.26,1873,,,,
,,,0.31,1944,,,,
,,,0.34,1943,,,,
,,,0.35,1883,,,,
,,,0.35,1888,,,,
,,,0.35,1905,,,,
,,,0.36,1890,,,,
,,,0.36,1921,,,,
,,,0.39,1963,,,,
,,,0.42,1915,,,,
,,,0.42,1921,,,,
,,,0.42,1941,,,,
,,,0.43,1980,,,,
,,,0.52,1805,,,,
,,,0.53,1958,,,,
,,,0.54,1911,,,,
,,,0.58,1895,,,,
,,,0.61,1910,,,,
,,,0.63,1901,,,,
,,,0.65,1971,,,,
,,,0.68,1915,,,,
,,,0.69,1958,,,,
,,,0.71,1987,,,,
,,,0.72,1975,,,,
,,,0.74,1974,,,,
,,,0.75,1906,,,,
,,,0.77,1948,,,,
,,,0.8,1865,,,,
,,,0.82,2022,,,,
,,,0.84,1966,,,,
,,,0.85,1943,,,,
,,,0.87,1952,,,,
,,,0.89,1942,,,,
,,,0.9,1879,,,,
,,,0.91,1902,,,,
,,,0.92,1972,,,,
,,,0.98,1937,,,,
,,,0.99,1944,,,,
G7,800,19176,0.02,1725,131,1758,50,1857
,,,0.02,1736,,,,
,,,0.05,1747,,,,
,,,0.07,1727,,,,
,,,0.07,1727,,,,
,,,0.12,1786,,,,
,,,0.14,1717,,,,
,,,0.15,1782,,,,
,,,0.18,1680,,,,
,,,0.19,1726,,,,
,,,0.19,1729,,,,
,,,0.2,1742,,,,
,,,0.21,1734,,,,
,,,0.21,1781,,,,
,,,0.23,1798,,,,
,,,0.28,1720,,,,
,,,0.29,1758,,,,
,,,0.35,1740,,,,
,,,0.35,1745,,,,
,,,0.5,1791,,,,
,,,0.52,1748,,,,
,,,0.55,1806,,,,
,,,0.56,1728,,,,
,,,0.56,1819,,,,
,,,0.59,1757,,,,
,,,0.61,1778,,,,
,,,0.64,1769,,,,
,,,0.64,1773,,,,
,,,0.65,1716,,,,
,,,0.65,1752,,,,
,,,0.66,1675,,,,
,,,0.68,1689,,,,
,,,0.7,1775,,,,
,,,0.71,1719,,,,
,,,0.75,1796,,,,
,,,0.76,1795,,,,
,,,0.79,1780,,,,
,,,0.8,1857,,,,
,,,0.82,1762,,,,
,,,0.82,1762,,,,
,,,0.85,1791,,,,
,,,0.87,1708,,,,
,,,0.89,1792,,,,
,,,0.9,1724,,,,
,,,0.95,1826,,,,
,,,0.96,1803,,,,
,,,0.97,1756,,,,
,,,0.97,1789,,,,
,,,0.97,1795,,,,
,,,0.99,1788,,,,
G8,800,19176,0,1769,136,1757,50,1839
,,,0,1796,,,,
,,,0.01,1793,,,,
,,,0.03,1782,,,,
,,,0.04,1798,,,,
,,,0.09,1708,,,,
,,,0.11,1791,,,,
,,,0.14,1682,,,,
,,,0.16,1801,,,,
,,,0.17,1823,,,,
,,,0.22,1737,,,,
,,,0.25,1757,,,,
,,,0.26,1735,,,,
,,,0.31,1782,,,,
,,,0.34,1806,,,,
,,,0.35,1691,,,,
,,,0.35,1699,,,,
,,,0.35,1773,,,,
,,,0.36,1706,,,,
,,,0.36,1787,,,,
,,,0.39,1775,,,,
,,,0.42,1730,,,,
,,,0.42,1755,,,,
,,,0.42,1786,,,,
,,,0.43,1684,,,,
,,,0.52,1784,,,,
,,,0.53,1757,,,,
,,,0.54,1678,,,,
,,,0.58,1733,,,,
,,,0.61,1702,,,,
,,,0.63,1763,,,,
,,,0.65,1717,,,,
,,,0.68,1836,,,,
,,,0.69,1720,,,,
,,,0.71,1753,,,,
,,,0.72,1828,,,,
,,,0.74,1787,,,,
,,,0.75,1787,,,,
,,,0.77,1783,,,,
,,,0.8,1763,,,,
,,,0.82,1741,,,,
,,,0.84,1764,,,,
,,,0.85,1769,,,,
,,,0.87,1770,,,,
,,,0.89,1764,,,,
,,,0.9,1664,,,,
,,,0.91,1839,,,,
,,,0.92,1741,,,,
,,,0.98,1761,,,,
,,,0.99,1734,,,,
G9,800,19176,0.02,1732,132,1807,50,1899
,,,0.02,1759,,,,
,,,0.05,1771,,,,
,,,0.07,1755,,,,
,,,0.07,1825,,,,
,,,0.12,1802,,,,
,,,0.14,1794,,,,
,,,0.15,1816,,,,
,,,0.18,1748,,,,
,,,0.19,1750,,,,
,,,0.19,1826,,,,
,,,0.2,1803,,,,
,,,0.21,1797,,,,
,,,0.21,1820,,,,
,,,0.23,1839,,,,
,,,0.28,1838,,,,
,,,0.29,1672,,,,
,,,0.35,1844,,,,
,,,0.35,1849,,,,
,,,0.5,1820,,,,
,,,0.52,1877,,,,
,,,0.55,1776,,,,
,,,0.56,1781,,,,
,,,0.56,1817,,,,
,,,0.59,1830,,,,
,,,0.61,1808,,,,
,,,0.64,1788,,,,
,,,0.64,1832,,,,
,,,0.65,1783,,,,
,,,0.65,1826,,,,
,,,0.66,1899,,,,
,,,0.68,1808,,,,
,,,0.7,1811,,,,
,,,0.71,1836,,,,
,,,0.75,1859,,,,
,,,0.76,1789,,,,
,,,0.79,1807,,,,
,,,0.8,1805,,,,
